status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,gender,marital_status,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,12,1,2,1804,2,0,3,1,3,2,4,0,44,1,1,1,1,1,0,1,1
3,10,1,7,2069,4,2,2,1,2,2,1,1,26,1,1,2,1,1,0,0,1
0,6,3,7,1374,0,2,1,1,3,2,2,2,36,0,1,1,3,1,1,1,1
3,6,4,3,426,0,1,4,1,2,2,4,1,39,1,1,1,3,1,0,1,1
1,12,0,3,409,1,2,3,0,1,2,3,2,42,1,2,2,1,1,0,1,1
2,7,3,3,2415,0,2,3,1,3,1,2,2,34,1,1,1,1,1,0,1,1
0,60,2,6,6836,0,1,3,1,3,2,4,3,63,1,1,2,1,1,1,1,0
2,18,3,6,1913,1,0,3,1,2,2,3,2,36,0,1,1,1,1,1,1,1
0,24,3,7,4020,0,2,2,1,3,2,2,1,27,2,1,1,1,1,0,1,1
2,18,3,1,5866,2,2,2,1,3,2,2,1,30,1,1,2,1,1,1,1,1
3,12,1,6,1264,4,1,4,1,3,2,4,3,57,1,2,1,3,1,0,1,1
1,12,3,7,1474,0,0,4,0,1,2,1,0,33,0,1,1,0,1,1,1,1
2,45,1,3,4746,0,0,4,1,3,2,2,0,25,1,1,2,3,1,0,1,0
3,48,1,9,6110,0,2,1,1,3,2,3,3,31,0,0,1,1,1,1,1,1
1,18,3,3,2100,0,2,4,1,3,0,2,2,37,2,1,1,1,1,0,1,0
1,10,3,8,1225,0,2,2,1,3,2,2,1,37,1,1,1,1,1,1,1,1
2,9,3,3,458,0,2,4,1,3,2,3,2,24,1,1,1,1,1,0,1,1
3,30,3,3,2333,3,1,4,1,3,2,2,1,30,0,1,1,0,1,0,1,1
2,12,3,3,1158,3,2,3,1,0,2,1,1,26,1,1,1,1,1,1,1,1
2,18,2,4,6204,0,2,2,1,3,2,4,2,44,1,1,1,3,2,1,1,1
0,30,1,2,6187,2,3,1,1,2,2,4,1,24,1,2,2,1,1,0,1,1
0,48,1,2,6143,0,1,4,0,1,2,4,3,58,2,0,2,3,1,0,1,0
3,11,1,1,1393,0,0,4,0,1,2,4,1,35,1,1,2,0,1,0,1,1
3,36,3,3,2299,3,1,4,1,3,2,4,1,39,1,1,1,1,1,0,1,1
0,6,3,2,1352,3,4,1,0,1,2,2,0,23,1,2,1,2,1,1,1,1
3,11,1,1,7228,0,2,1,1,3,2,4,0,39,1,1,2,3,1,0,1,1
3,12,3,3,2073,2,2,4,0,1,0,2,2,28,1,1,1,1,1,0,1,1
2,24,2,7,2333,4,0,4,1,3,2,2,0,29,0,1,1,3,1,0,1,1
2,27,2,2,5965,0,1,1,1,3,2,2,1,30,1,1,2,0,1,1,1,1
3,12,3,3,1262,0,2,3,1,3,2,2,1,25,1,1,1,1,1,0,1,1
3,18,3,2,3378,4,2,2,1,3,2,1,0,31,1,1,1,1,1,1,1,1
2,36,2,1,2225,0,1,4,1,3,2,4,3,57,0,0,2,1,1,1,1,0
3,6,0,1,783,4,2,1,1,3,1,2,2,26,2,1,1,3,2,0,1,1
2,12,3,3,6468,4,4,2,1,3,2,1,3,52,1,1,1,0,1,1,1,0
3,36,1,3,9566,0,2,2,0,1,2,2,1,31,2,1,2,1,1,0,1,1
1,18,3,1,1961,0,1,3,0,1,2,2,1,23,1,1,1,0,1,0,1,1
0,36,1,7,6229,0,0,4,0,1,0,4,3,23,1,2,2,3,1,1,1,0
2,9,3,6,1391,0,2,2,1,2,2,1,2,27,0,1,1,1,1,1,1,1
2,15,1,3,1537,4,1,4,1,3,1,4,2,50,1,1,2,1,1,1,1,1
2,36,4,6,1953,0,1,4,1,3,2,4,3,61,1,0,1,0,1,1,1,0
2,48,4,6,14421,0,2,2,1,3,2,2,1,25,1,1,1,1,1,1,1,0
3,24,3,3,3181,0,0,4,0,1,2,4,0,26,1,1,1,1,1,1,1,1
3,27,3,4,5190,4,1,4,1,3,2,4,0,48,1,1,4,1,2,1,1,1
3,12,3,3,2171,0,0,2,0,1,2,2,1,29,0,1,1,1,1,0,1,1
2,12,3,1,1007,1,2,4,1,2,2,1,2,22,1,1,1,1,1,0,1,1
3,36,3,9,1819,0,2,4,1,3,2,4,3,37,2,0,1,1,1,1,1,0
3,36,3,3,2394,4,2,4,0,1,2,4,1,25,1,1,1,1,1,0,1,1
3,36,3,2,8133,0,2,1,0,1,2,2,0,30,0,1,1,1,1,0,1,1
3,7,1,3,730,4,1,4,1,3,2,2,0,46,1,2,2,3,1,1,1,1
0,8,1,5,1164,0,1,3,1,3,2,4,3,51,0,0,2,0,2,1,1,1
2,42,1,6,5954,0,3,2,0,1,2,1,2,41,0,1,2,3,1,0,1,1
0,36,3,9,1977,4,1,4,1,3,2,4,3,40,1,1,1,0,1,1,1,0
0,12,1,2,1526,0,1,4,1,3,2,4,3,66,1,0,2,0,1,0,1,1
0,42,3,3,3965,0,0,4,1,3,2,3,1,34,1,1,1,1,1,0,1,0
2,11,2,3,4771,0,3,2,1,3,2,4,0,51,1,1,1,1,1,0,1,1
3,54,4,2,9436,4,2,2,1,3,2,2,0,39,1,1,1,3,2,0,1,1
2,30,3,7,3832,0,0,2,1,2,2,1,0,22,1,1,1,1,1,0,1,1
3,24,3,3,5943,4,0,1,0,1,2,1,1,44,1,1,2,1,1,1,1,0
3,15,3,3,1213,3,1,4,1,3,2,3,0,47,2,1,1,1,1,1,1,1
3,18,3,6,1568,2,2,3,0,1,2,4,0,24,1,2,1,3,1,0,1,1
0,24,3,5,1755,0,1,4,0,1,1,4,2,58,1,1,1,3,1,1,1,1
0,10,3,3,2315,0,1,3,1,3,2,4,2,52,1,1,1,3,1,0,1,1
3,12,1,6,1412,0,2,4,0,1,1,2,2,29,1,1,2,0,1,1,1,1
2,18,1,7,1295,0,0,4,0,1,2,1,0,27,1,1,2,1,1,0,1,1
2,36,3,9,12612,2,2,1,1,3,2,4,3,47,1,0,1,1,2,1,1,0
0,18,3,1,2249,2,3,4,1,3,2,3,1,30,1,1,1,0,2,1,1,1
0,12,4,4,1108,0,3,4,1,3,2,3,2,28,1,1,2,1,1,0,1,0
3,12,1,3,618,0,1,4,1,3,2,4,2,56,1,1,1,1,1,0,1,1
0,12,1,2,1409,0,1,4,1,3,2,3,2,54,1,1,1,1,1,0,1,1
3,12,1,3,797,4,1,4,0,1,2,3,0,33,0,1,1,3,2,0,1,0
1,24,1,7,3617,4,1,4,1,3,0,4,3,20,1,2,2,1,1,0,1,1
2,12,3,1,1318,1,1,4,1,3,2,4,2,54,1,1,1,1,1,1,1,1
2,54,4,6,15945,0,0,3,1,3,2,4,3,58,1,2,1,1,1,1,1,0
3,12,1,9,2012,4,3,4,0,1,2,2,1,61,1,1,1,1,1,0,1,1
2,18,3,6,2622,2,2,4,1,3,2,4,1,34,1,1,1,1,1,0,1,1
2,36,1,3,2337,0,1,4,1,3,2,4,2,36,1,1,1,1,1,0,1,1
2,20,2,2,7057,4,3,3,1,3,2,4,0,36,0,2,2,0,2,1,1,1
3,24,3,1,1469,2,1,4,1,2,2,4,2,41,1,2,1,3,1,0,1,1
2,36,3,3,2323,0,3,4,1,3,2,4,1,24,1,2,1,1,1,0,1,1
3,6,2,3,932,0,2,3,0,1,2,2,2,24,1,1,1,1,1,0,1,1
2,9,1,7,1919,0,3,4,1,3,2,3,1,35,1,2,1,1,1,1,1,1
3,12,3,2,2445,4,0,2,1,2,2,4,1,26,1,2,1,1,1,1,1,1
2,24,1,5,11938,0,2,2,1,3,0,3,1,39,1,1,2,0,2,1,1,0
3,18,0,1,6458,0,1,2,1,3,2,4,3,39,0,1,2,0,2,1,1,0
2,12,3,1,6078,0,3,2,1,3,2,2,1,32,1,1,1,1,1,0,1,1
0,24,3,7,7721,4,0,1,0,1,2,2,0,30,1,1,1,1,1,1,0,1
2,14,3,6,1410,3,1,1,1,2,2,2,2,35,1,1,1,1,1,1,1,1
2,6,2,6,1449,2,1,1,1,0,2,2,1,31,0,1,2,1,2,0,1,1
1,15,3,9,392,0,0,4,0,1,2,4,0,23,1,2,1,1,1,1,1,1
2,18,3,1,6260,0,3,3,1,3,2,3,2,28,1,2,1,3,1,0,1,1
3,36,1,1,7855,0,2,4,0,1,2,2,2,25,2,1,2,1,1,1,1,0
0,12,3,3,1680,3,1,3,1,2,2,1,2,35,1,1,1,1,1,0,1,1
3,48,1,3,3578,4,1,4,1,3,2,1,2,47,1,1,1,1,1,1,1,1
0,42,3,3,7174,4,3,4,0,1,2,3,1,30,1,1,1,0,1,1,1,0
0,10,1,7,2132,4,0,2,0,1,0,3,2,27,1,2,2,1,1,0,0,1
0,33,1,7,4281,3,2,1,0,1,2,4,1,23,1,1,2,1,1,0,1,0
2,12,1,1,2366,3,3,3,1,0,2,3,1,36,1,1,1,0,1,1,1,1
0,21,3,3,1835,0,2,3,0,1,2,2,2,25,1,1,2,1,1,1,1,0
3,24,1,2,3868,0,1,4,0,1,2,2,1,41,1,2,2,0,1,1,1,1
3,12,3,7,1768,0,2,3,1,3,2,2,2,24,1,2,1,3,1,0,1,1
1,10,1,1,781,0,1,4,1,3,2,4,3,63,1,0,2,1,1,1,1,1
2,18,3,7,1924,4,0,4,0,1,2,3,2,27,1,2,1,1,1,0,1,0
0,12,1,1,2121,0,2,4,1,3,2,2,0,30,1,1,2,1,1,0,1,1
0,12,3,3,701,0,2,4,1,2,2,2,2,40,1,1,1,3,1,0,1,1
2,12,3,4,639,0,2,4,1,3,2,2,1,30,1,1,1,1,1,0,1,0
2,12,1,2,1860,0,4,4,1,3,2,2,1,34,1,1,2,0,1,1,1,1
0,12,1,1,3499,0,2,3,0,1,0,2,2,29,1,1,2,1,1,0,1,0
2,48,3,1,8487,4,3,1,0,1,2,2,1,24,1,1,1,1,1,0,1,1
0,36,2,9,6887,0,2,4,1,3,2,3,0,29,2,1,1,1,1,1,1,0
3,15,3,7,2708,0,0,2,1,3,2,3,0,27,0,1,2,3,1,0,1,1
3,18,3,7,1984,0,2,4,1,3,2,4,3,47,0,0,2,1,1,0,1,1
3,60,3,3,10144,2,3,2,0,1,2,4,2,21,1,1,1,1,1,1,1,1
3,12,1,3,1240,4,1,4,0,1,2,2,2,38,1,1,2,1,1,1,1,1
3,27,2,2,8613,1,2,2,1,3,2,2,1,27,1,1,2,1,1,0,1,1
2,12,3,3,766,3,2,4,1,3,2,3,2,66,1,1,1,3,1,0,1,0
2,15,1,3,2728,4,3,4,1,3,1,2,2,35,0,1,3,1,1,1,1,1
1,12,3,3,1881,0,2,2,0,1,2,2,1,44,1,2,1,3,1,1,1,1
1,6,3,1,709,1,0,2,1,2,2,2,2,27,1,1,1,2,1,0,0,1
2,36,3,3,4795,0,0,4,0,1,2,1,3,30,1,1,1,0,1,1,1,1
0,27,3,3,3416,0,2,3,1,3,2,2,1,27,1,1,1,0,1,0,1,1
0,18,3,7,2462,0,2,2,1,3,2,2,1,22,1,1,1,1,1,0,1,0
3,21,1,7,2288,0,0,4,0,1,2,4,0,23,1,1,1,1,1,1,1,1
2,48,0,6,3566,2,3,4,1,3,2,2,1,30,1,1,1,1,1,0,1,1
0,6,1,1,860,0,1,1,0,1,2,4,3,39,1,1,2,1,1,1,1,1
3,12,1,1,682,2,3,4,0,1,2,3,1,51,1,1,2,1,1,1,1,1
0,36,1,7,5371,0,2,3,1,3,1,2,0,28,1,1,2,1,1,0,1,1
3,18,1,3,1582,1,1,4,1,3,2,4,1,46,1,1,2,1,1,0,1,1
3,6,3,3,1346,2,1,2,1,3,2,4,3,42,0,0,1,1,2,1,1,1
3,10,3,3,1924,0,2,1,1,3,2,4,0,38,1,1,1,1,1,1,0,1
1,36,3,3,5848,0,2,4,1,3,2,1,1,24,1,1,1,1,1,0,1,1
2,24,1,2,7758,1,1,2,0,1,2,4,3,29,1,2,1,1,1,0,1,1
2,24,2,6,6967,2,3,4,1,3,2,4,1,36,1,2,1,0,1,1,1,1
0,12,3,7,1282,0,2,2,0,1,2,4,1,20,1,2,1,1,1,0,1,0
0,9,1,4,1288,2,1,3,1,3,1,4,2,48,1,1,2,1,2,0,0,1
0,12,0,0,339,0,1,4,1,2,2,1,1,45,0,1,1,3,1,0,1,1
2,24,3,1,3512,2,3,2,1,3,2,3,1,38,0,1,2,1,1,1,1,1
3,6,1,3,1898,4,2,1,1,3,2,2,2,34,1,1,2,3,2,0,1,1
3,24,1,3,2872,2,1,3,1,3,2,4,2,36,1,1,1,1,2,1,1,1
3,18,1,1,1055,0,0,4,0,1,2,1,0,30,1,1,2,1,1,0,1,1
3,15,3,8,1262,3,3,4,1,3,2,3,0,36,1,1,2,1,1,1,1,1
2,10,3,1,7308,0,4,2,1,3,2,4,3,70,0,0,1,0,1,1,1,1
3,36,3,1,909,3,1,4,1,3,2,4,0,36,1,1,1,1,1,0,1,1
3,6,3,7,2978,3,2,1,1,3,2,2,1,32,1,1,1,1,1,1,1,1
0,18,3,7,1131,0,4,4,0,1,2,2,1,33,1,1,1,1,1,0,1,0
2,11,3,7,1577,1,0,4,0,1,2,1,2,20,1,1,1,1,1,0,1,1
3,24,3,7,3972,0,3,2,0,1,2,4,0,25,1,2,1,1,1,1,1,1
2,24,1,6,1935,0,1,4,1,0,2,4,2,31,1,1,2,1,1,1,1,0
0,15,4,1,950,0,1,4,1,3,2,3,1,33,1,2,2,1,2,0,1,0
3,12,3,7,763,0,2,4,0,1,2,1,2,26,1,1,1,1,1,1,1,1
2,24,2,7,2064,0,4,3,0,1,2,2,0,34,1,1,1,0,1,1,1,0
2,8,3,3,1414,0,2,4,1,3,1,2,2,33,1,1,1,1,1,0,0,1
0,21,2,9,3414,0,0,2,1,3,2,1,0,26,1,1,2,1,1,0,1,0
3,30,0,2,7485,4,4,4,0,1,2,1,2,53,0,1,1,0,1,1,1,0
0,12,3,7,2577,0,2,2,1,0,2,1,1,42,1,1,1,1,1,0,1,1
0,6,1,3,338,3,1,4,1,3,2,4,1,52,1,1,2,1,1,0,1,1
3,12,3,3,1963,0,3,4,1,3,2,2,1,31,1,2,2,0,2,1,1,1
0,21,1,1,571,0,1,4,1,3,2,4,2,65,1,1,2,1,1,0,1,1
3,36,2,6,9572,0,0,1,1,0,2,1,1,28,1,1,2,1,1,0,1,0
2,36,2,6,4455,0,2,2,1,0,2,2,2,30,2,1,2,0,1,1,1,0
0,21,0,1,1647,4,2,4,1,3,2,2,0,40,1,1,2,3,2,0,1,0
3,24,1,7,3777,1,2,4,1,3,2,4,2,50,1,1,1,1,1,1,1,1
2,18,1,1,884,0,1,4,1,3,2,4,1,36,0,1,1,1,2,1,1,0
3,15,1,3,1360,0,2,4,1,3,2,2,0,31,1,1,2,1,1,0,1,1
2,9,0,2,5129,0,1,2,0,1,2,4,3,74,0,0,1,0,2,1,1,0
2,16,1,1,1175,0,4,2,1,3,2,3,1,68,1,0,3,2,1,1,1,1
0,12,3,3,674,2,3,4,1,2,2,1,0,20,1,1,1,1,1,0,1,0
2,18,4,7,3244,0,2,1,0,1,2,4,1,33,0,1,2,1,1,1,1,1
3,24,3,6,4591,1,2,2,1,3,2,3,0,54,1,1,3,0,1,1,1,0
2,48,4,6,3844,2,3,4,1,3,2,4,3,34,1,0,1,3,2,0,1,0
2,27,3,6,3915,0,2,4,1,3,2,2,1,36,1,1,1,1,2,1,1,0
3,6,3,3,2108,0,3,2,1,2,2,2,2,29,1,2,1,1,1,0,1,1
2,45,3,3,3031,2,2,4,1,3,1,4,0,21,1,2,1,1,1,0,1,0
2,9,1,9,1501,0,1,2,0,1,2,3,1,34,1,1,2,0,1,1,1,0
3,6,1,3,1382,0,2,1,0,1,2,1,1,28,1,1,2,1,1,1,1,1
2,12,3,7,951,2,0,4,0,1,2,4,1,27,0,2,4,1,1,0,1,0
2,24,3,2,2760,4,1,4,1,3,2,4,3,36,0,0,1,1,1,1,1,1
2,18,2,7,4297,0,1,4,1,0,2,3,3,40,1,1,1,0,1,1,1,0
3,9,1,9,936,3,1,4,1,3,2,2,1,52,1,1,2,1,1,1,1,1
0,12,3,1,1168,0,2,4,1,2,2,3,2,27,1,1,1,3,1,0,1,1
3,27,2,6,5117,0,3,3,1,3,2,4,1,26,1,1,2,1,1,0,1,1
0,12,3,0,902,0,3,4,1,2,2,4,0,21,1,2,1,1,1,0,1,0
3,12,1,1,1495,0,1,4,1,3,2,1,2,38,1,1,2,3,2,0,1,1
0,30,1,2,10623,0,1,3,1,3,2,4,3,38,1,0,3,0,2,1,1,1
3,12,1,7,1935,0,1,4,1,3,2,4,2,43,1,1,3,1,1,1,1,1
2,12,1,8,1424,0,3,4,1,3,2,3,0,26,1,1,1,1,1,0,1,1
0,24,3,6,6568,0,2,2,1,2,2,2,1,21,2,1,1,3,1,0,1,1
3,12,3,2,1413,1,3,3,1,3,2,2,0,55,1,1,1,1,1,0,0,1
3,9,1,3,3074,4,2,1,1,3,2,2,2,33,1,1,2,1,2,0,1,1
3,36,3,3,3835,4,1,2,0,1,2,4,2,45,1,1,1,3,1,1,1,1
0,27,4,6,5293,0,4,2,1,3,2,4,0,50,2,1,2,1,1,1,1,0
1,30,2,6,1908,0,1,4,1,3,2,4,2,66,1,1,1,0,1,1,1,0
3,36,1,3,3342,4,1,4,1,3,2,2,1,51,1,1,1,1,1,1,1,1
2,6,1,0,932,4,3,1,0,1,2,3,0,39,1,1,2,3,1,0,1,1
0,18,4,6,3104,0,3,3,1,3,2,1,0,31,0,1,1,1,1,1,1,1
1,36,3,3,3913,0,2,2,1,3,2,2,2,23,1,1,1,1,1,1,1,1
0,24,3,7,3021,0,2,2,1,0,2,2,2,24,1,2,1,3,1,0,1,1
3,10,3,1,1364,0,2,2,0,1,2,4,1,64,1,1,1,1,1,1,1,1
2,12,3,3,625,0,0,4,1,2,1,1,2,26,0,1,1,3,1,0,1,1
0,12,3,9,1200,4,2,4,0,1,2,4,0,23,0,2,1,1,1,1,1,1
3,12,3,3,707,0,2,4,1,3,2,2,2,30,0,1,2,1,1,0,1,1
3,24,2,6,2978,4,2,4,1,3,2,4,2,32,1,1,2,1,2,1,1,1
3,15,3,2,4657,0,2,3,1,3,2,2,1,30,1,1,1,1,1,1,1,1
3,36,4,4,2613,0,2,4,1,3,2,2,1,27,1,1,2,1,1,0,1,1
2,48,3,3,10961,1,3,1,1,3,0,2,3,27,0,1,2,1,1,1,1,0
0,12,3,7,7865,0,1,4,1,3,2,4,3,53,1,0,1,0,1,1,1,0
3,9,3,3,1478,0,3,4,1,3,2,2,1,22,1,1,1,1,1,0,1,0
0,24,3,7,3149,0,0,4,1,3,2,1,3,22,0,0,1,1,1,0,1,1
1,36,3,3,4210,0,2,4,1,3,2,2,1,26,1,1,1,1,1,0,1,0
3,9,3,1,2507,3,1,2,1,3,2,4,3,51,1,0,1,3,1,0,1,1
3,12,3,3,2141,2,3,3,1,3,2,1,3,35,1,1,1,1,1,0,1,1
2,18,3,3,866,0,2,4,1,2,1,2,2,25,1,1,1,3,1,0,1,1
3,4,1,3,1544,0,3,2,1,3,2,1,2,42,1,1,3,3,2,0,1,1
0,24,3,3,1823,0,4,4,1,3,2,2,1,30,2,1,1,0,2,0,1,0
2,6,3,1,14555,4,4,1,1,3,2,2,0,23,1,1,1,2,1,1,1,0
2,21,3,6,2767,2,1,4,1,0,2,2,1,61,0,2,2,3,1,0,1,0
3,12,1,3,1291,0,2,4,0,1,2,2,0,35,1,1,2,1,1,0,1,1
0,30,3,3,2522,0,1,1,1,3,1,3,0,39,1,1,1,1,2,0,1,1
0,24,3,1,915,4,1,4,0,1,2,2,1,29,0,1,1,1,1,0,1,0
3,6,3,3,1595,0,3,3,1,3,2,2,0,51,1,1,1,1,2,0,1,1
0,48,4,2,4605,0,1,3,1,3,2,4,3,24,1,0,2,1,2,0,1,0
3,12,1,6,1185,0,2,3,0,1,2,2,2,27,1,1,2,1,1,0,1,1
3,12,0,0,3447,3,2,4,0,1,2,3,2,35,1,1,1,3,2,0,1,1
3,24,3,6,1258,0,3,4,1,3,2,1,2,25,1,1,1,1,1,1,1,1
3,12,1,3,717,0,1,4,1,3,2,4,2,52,1,1,3,1,1,0,1,1
3,6,4,1,1204,2,2,4,1,3,2,1,3,35,0,2,1,1,1,0,0,1
1,24,3,7,1925,0,2,2,1,3,2,2,2,26,1,1,1,1,1,0,1,1
3,18,3,3,433,0,4,3,0,1,0,4,2,22,1,2,1,1,1,0,1,0
0,6,1,1,666,1,3,3,0,1,2,4,2,39,1,1,2,3,1,1,1,1
1,12,3,7,2251,0,2,1,0,1,2,2,1,46,1,1,1,3,1,0,1,1
2,30,3,1,2150,0,2,4,0,1,1,2,3,24,0,1,1,1,1,0,1,0
3,24,2,7,4151,2,2,2,1,3,2,3,0,35,1,1,2,1,1,0,1,1
2,9,3,7,2030,4,3,2,1,3,2,1,1,24,1,1,1,1,1,1,1,1
2,60,2,3,7418,4,2,1,1,3,2,1,2,27,1,1,1,3,1,0,1,1
3,24,1,3,2684,0,2,4,1,3,2,2,2,35,1,1,2,3,1,0,1,1
0,12,0,3,2149,0,2,4,1,0,2,1,3,29,1,0,1,1,1,0,1,0
3,15,3,2,3812,2,0,1,0,1,2,4,1,23,1,1,1,1,1,1,1,1
3,11,1,3,1154,2,4,4,0,1,2,4,2,57,1,1,3,3,1,0,1,1
0,12,3,7,1657,0,2,2,1,3,2,2,2,27,1,1,1,1,1,0,1,1
0,24,3,3,1603,0,1,4,0,1,2,4,1,55,1,1,1,1,1,0,1,1
0,18,1,1,5302,0,1,2,1,3,2,4,3,36,1,0,3,0,1,1,1,1
3,12,1,9,2748,0,1,2,0,1,2,4,3,57,0,0,3,3,1,0,1,1
3,10,1,1,1231,0,1,3,1,3,2,4,2,32,1,1,2,3,2,0,0,1
2,15,3,3,802,0,1,4,1,3,2,3,1,37,1,1,1,1,2,0,1,0
3,36,1,6,6304,4,1,4,1,3,2,4,2,36,1,1,2,1,1,0,1,1
3,24,3,3,1533,0,0,4,0,1,2,3,1,38,2,1,1,1,1,1,1,1
0,14,3,1,8978,0,1,1,1,0,2,4,0,45,1,1,1,0,1,1,0,0
3,24,3,3,999,4,1,4,1,3,2,2,1,25,1,1,2,1,1,0,1,1
3,18,3,1,2662,4,3,4,1,3,2,3,0,32,1,1,1,1,1,0,0,1
3,12,1,7,1402,3,3,3,0,1,2,4,1,37,1,2,1,1,1,1,1,1
2,48,0,1,12169,4,4,4,1,3,0,4,3,36,1,0,1,0,1,1,1,1
2,48,3,3,3060,0,3,4,1,3,2,4,2,28,1,1,2,1,1,0,1,0
0,30,3,4,11998,0,0,1,1,0,2,1,3,34,1,1,1,3,1,1,1,0
3,9,3,3,2697,0,2,1,1,3,2,2,2,32,1,1,1,1,2,0,1,1
3,18,1,3,2404,0,2,2,0,1,2,2,1,26,1,1,2,1,1,0,1,1
0,12,3,7,1262,4,1,2,1,0,2,4,0,49,1,1,1,3,1,1,1,1
3,6,3,7,4611,0,0,1,0,1,2,4,0,32,1,1,1,1,1,0,1,0
3,24,3,3,1901,2,2,4,1,3,2,4,1,29,1,2,1,0,1,1,1,1
3,15,1,2,3368,1,1,3,1,3,2,4,3,23,1,2,2,1,1,1,1,1
3,12,3,7,1574,0,2,4,1,3,2,2,2,50,1,1,1,1,1,0,1,1
1,18,0,3,1445,4,3,4,1,3,2,4,1,49,0,1,1,3,1,0,1,1
3,15,1,7,1520,4,1,4,1,3,2,4,0,63,1,1,1,1,1,0,1,1
2,24,1,1,3878,2,0,4,1,0,2,2,1,37,1,1,1,1,1,1,1,1
0,47,3,1,10722,0,0,1,0,1,2,1,2,35,1,1,1,3,1,1,1,1
0,48,3,2,4788,0,3,4,1,3,2,3,0,26,1,1,1,1,2,0,1,1
2,48,2,5,7582,2,4,2,1,3,2,4,3,31,1,0,1,0,1,1,1,1
2,12,3,3,1092,0,2,4,0,1,1,4,2,49,1,1,2,1,1,1,1,1
0,24,2,3,1024,0,0,4,1,2,2,4,2,48,2,1,1,1,1,0,1,0
3,12,3,6,1076,0,2,2,1,2,2,2,2,26,1,1,1,1,1,1,0,1
2,36,3,2,9398,0,0,1,1,2,2,4,1,28,1,2,1,0,1,1,1,0
0,24,1,2,6419,0,1,2,0,1,2,4,3,44,1,0,2,0,2,1,1,1
1,42,1,2,4796,0,1,4,1,3,2,4,3,56,1,0,1,1,1,0,1,1
3,48,1,6,7629,4,1,4,1,0,2,2,1,46,0,1,2,0,2,0,1,1
2,48,3,7,9960,0,0,1,0,1,2,2,1,26,1,1,1,1,1,1,1,0
3,12,3,2,4675,4,0,1,0,1,2,4,1,20,1,2,1,1,1,0,1,1
3,10,3,1,1287,4,1,4,1,3,0,2,0,45,1,1,1,3,1,0,0,1
3,18,3,7,2515,0,2,3,1,3,2,4,2,43,1,1,1,1,1,1,1,1
2,21,1,7,2745,1,3,3,1,3,2,2,1,32,1,1,2,1,1,1,1,1
3,6,3,1,672,0,4,1,0,1,2,4,2,54,1,1,1,2,1,1,1,1
2,36,4,3,3804,0,2,4,0,1,2,1,1,42,1,1,1,1,1,1,1,0
1,24,1,1,1344,4,3,4,1,3,2,2,2,37,0,1,2,3,2,0,1,0
0,10,1,1,1038,0,3,4,1,3,0,3,0,49,1,1,2,1,1,1,1,1
3,48,1,1,10127,3,2,2,1,3,2,2,3,44,0,0,1,1,1,0,1,0
3,6,3,7,1543,1,2,4,1,0,2,2,2,33,1,1,1,1,1,0,1,1
3,30,3,2,4811,4,3,2,0,1,2,4,0,24,2,2,1,3,1,0,1,1
